SKUÉRÅ[Éh,ç›å…êîó 
190920021430000,0
151310000252170,2
160414041729419,0
186412002220078,8
121410021130502,2
130420240394821,0
121514031129402,2
121514051129502,1
152514001556502,4
160514000370305,1
142510031464619,1
150510010524128,0
152514011564102,1
130514050254019,1
151510000394219,2
131510010394615,6
110510021099405,1
110510010549319,1
121557000450265,0
131514001634602,2
110514011129521,1
184524001120026,5
110520000399472,2
110520000399475,3
110520020399483,2
184520020540001,1
184520000540019,2
