SKUÉRÅ[Éh,ç›å…êîó 
152410020394178,4
181452001857519,2
181452001858019,2
181452001858519,2
160450012154605,6
160450012154614,3
160450012154805,3
160450012154814,4
160450002154619,2
130420140395019,0
184460061850019,2
171422140284819,1
190420022010000,83
190420032010000,58
184460121850078,1
184460121850019,2
160550000525078,0
110510001159319,0
184550051590019,2
184550061850019,2
184550051850019,3
184550041850035,1
184550041850014,1
184550041850015,1
184510010200078,0
160510041094819,0
184550381850014,2
184550381850078,2
184550381850019,2
130550012153015,1
130550012153019,1
130550012153215,1
130550012153219,1
130517010019205,3
